player1,player2,similarity
Romelu Lukaku,Bernd Leno,0.7779664683121426
Samir Handanovič,Sergio Busquets,0.7779952237370146
Sergio Busquets,Samir Handanovič,0.7779952237370146
Romelu Lukaku,Petr Čech,0.7780107612257349
Petr Čech,Romelu Lukaku,0.7780107612257349
Mesut Özil,Thibaut Courtois,0.7781891742862529
Thibaut Courtois,Mesut Özil,0.7781891742862529
Neymar,Jan Oblak,0.7782592000719605
Jan Oblak,Neymar,0.7782592000719605
David Silva,Samir Handanovič,0.7782989002882
Samir Handanovič,David Silva,0.7782989002882001
Gianluigi Buffon,Mesut Özil,0.7783573376614712
Mesut Özil,Gianluigi Buffon,0.7783573376614712
Samir Handanovič,Diego Godín,0.7785018642296475
Diego Godín,Samir Handanovič,0.7785018642296476
Bernd Leno,Franck Ribéry,0.7785206113695823
Franck Ribéry,Bernd Leno,0.7785206113695823
Petr Čech,Franck Ribéry,0.778564935832877
Franck Ribéry,Petr Čech,0.778564935832877
Juan Mata,Jan Oblak,0.7786778169270575
Jan Oblak,Juan Mata,0.7786778169270575
Coutinho,Samir Handanovič,0.7786831102902168
Samir Handanovič,Coutinho,0.7786831102902168
Cristiano Ronaldo,Hugo Lloris,0.7787862387221808
Hugo Lloris,Cristiano Ronaldo,0.7787862387221808
Keylor Navas,Mesut Özil,0.7788331945008888
Mesut Özil,Keylor Navas,0.7788331945008888
Stéphane Ruffier,Pepe,0.7790324401217497
Pepe,Stéphane Ruffier,0.7790324401217497
Bernd Leno,Arjen Robben,0.7791487489404686
Arjen Robben,Bernd Leno,0.7791487489404686
Samir Handanovič,Javi Martinez,0.7791553462453223
Javi Martinez,Samir Handanovič,0.7791553462453223
Arjen Robben,Petr Čech,0.7791931091662857
Petr Čech,Arjen Robben,0.7791931091662857
Zlatan Ibrahimović,Stéphane Ruffier,0.7796459665009227
Stéphane Ruffier,Zlatan Ibrahimović,0.7796459665009227
Marcelo,Jan Oblak,0.7796513545399897
Jan Oblak,Marcelo,0.7796513545399898
Jan Oblak,Miranda,0.7797924556764813
Miranda,Jan Oblak,0.7797924556764813
Stéphane Ruffier,Pierre-Emerick Aubameyang,0.7798779499585807
Pierre-Emerick Aubameyang,Stéphane Ruffier,0.7798779499585807
Laurent Koscielny,Stéphane Ruffier,0.7799351029783056
Stéphane Ruffier,Laurent Koscielny,0.7799351029783056
Leonardo Bonucci,Hugo Lloris,0.7799875818513489
Hugo Lloris,Leonardo Bonucci,0.7799875818513489
Alexandre Lacazette,Jan Oblak,0.7800212737286024
Jan Oblak,Alexandre Lacazette,0.7800212737286024
Dries Mertens,Stéphane Ruffier,0.780093772601221
Stéphane Ruffier,Dries Mertens,0.780093772601221
Pepe,Bernd Leno,0.78022228820223
Bernd Leno,Pepe,0.78022228820223
Petr Čech,Pepe,0.780266709549167
Pepe,Petr Čech,0.780266709549167
Eden Hazard,Hugo Lloris,0.7805393587857069
Hugo Lloris,Eden Hazard,0.7805393587857069
Stéphane Ruffier,Neymar,0.7806017304060514
Neymar,Stéphane Ruffier,0.7806017304060514
Jan Oblak,Jérôme Boateng,0.7806427998702647
Jérôme Boateng,Jan Oblak,0.7806427998702647
Vincent Kompany,Jan Oblak,0.7807229361863908
Jan Oblak,Vincent Kompany,0.7807229361863908
Bernd Leno,Zlatan Ibrahimović,0.7808367516453133
Zlatan Ibrahimović,Bernd Leno,0.7808367516453133
Zlatan Ibrahimović,Petr Čech,0.7808812079762467
Petr Čech,Zlatan Ibrahimović,0.7808812079762467
Hugo Lloris,Sokratis,0.7809646822558304
Sokratis,Hugo Lloris,0.7809646822558304
Stéphane Ruffier,Juan Mata,0.7810216072818219
Juan Mata,Stéphane Ruffier,0.7810216072818219
Pierre-Emerick Aubameyang,Bernd Leno,0.7810690894207861
Bernd Leno,Pierre-Emerick Aubameyang,0.7810690894207861
Petr Čech,Pierre-Emerick Aubameyang,0.7811135589796895
Pierre-Emerick Aubameyang,Petr Čech,0.7811135589796895
Laurent Koscielny,Bernd Leno,0.7811263297326536
Bernd Leno,Laurent Koscielny,0.7811263297326536
Hugo Lloris,Romelu Lukaku,0.781147673818934
Romelu Lukaku,Hugo Lloris,0.781147673818934
Laurent Koscielny,Petr Čech,0.7811708025504894
Petr Čech,Laurent Koscielny,0.7811708025504894
Diego Costa,Samir Handanovič,0.7812215296806478
Samir Handanovič,Diego Costa,0.7812215296806478
Bernd Leno,Dries Mertens,0.781285241698168
Dries Mertens,Bernd Leno,0.781285241698168
Dries Mertens,Petr Čech,0.7813297235635325
Petr Čech,Dries Mertens,0.7813297235635326
Jan Oblak,Robert Lewandowski,0.7814934837577396
Robert Lewandowski,Jan Oblak,0.7814934837577396
Manuel Neuer,Paulo Dybala,0.7815676265153919
Paulo Dybala,Manuel Neuer,0.7815676265153919
Samir Handanovič,Arturo Vidal,0.7815752044729363
Arturo Vidal,Samir Handanovič,0.7815752044729363
Christian Eriksen,Samir Handanovič,0.781618326568069
Samir Handanovič,Christian Eriksen,0.781618326568069
