Club,Club_Position
FC Ufa,Sub
Atalanta,Res
Brescia,GK
Temperley,RM
Cracovia,Sub
Trapani,RS
Sarandí,Res
Tigre,Sub
FC Lugano,Sub
Unión,RDM
Port Vale,Sub
San Juan,Sub
Sporting KC,Sub
Ruch Chorzów,LDM
Bahía Blanca,Sub
Brentford,Sub
Atl. Nacional,Sub
FC Lausanne,Sub
Birmingham City,Res
Atlético Huila,Sub
Jaguares,Sub
Plymouth Argyle,Sub
Ruch Chorzów,Sub
Deportes Temuco,RCM
Admira Wacker,RB
San Juan,CB
Plymouth Argyle,Sub
Vitesse,Sub
F. Santa Maria,Sub
Fl. Varela,Sub
Perugia,LB
Everton,Res
Clermont Foot,Sub
Latina,Sub
Amiens SC,Sub
Millwall,LCB
VfL Bochum,RB
Bradford City,Sub
Cambridge Utd,ST
FC Utrecht,Sub
Strømsgodset IF,Sub
Atlético Huila,CDM
RC Strasbourg,Sub
Rangers,Sub
Southampton,Res
Deport. Alavés,Res
Partick Thistle,LCB
Amkar Perm,Sub
AS Nancy,Sub
GFC Ajaccio,Sub
FC Nordsjælland,ST
Mar del Plata,RM
Córdoba CF,Sub
Rafaela,RB
Depor. Iquique,Res
Sarandí,Sub
San Luis,Res
CD Huachipato,Sub
San Luis,Sub
CD Everton,CAM
Deportes Temuco,LCB
Unión Española,Sub
Djurgårdens IF,Sub
Chiapas,RB
Cortuluá,LB
San Luis,Sub
CD Palestino,Sub
Deportes Tolima,RDM
Boyacá Chicó,Res
CD Cobresal,LM
Fortaleza FC,RCM
CD Cobresal,Sub
Deportes Tolima,Sub
Perugia,Sub
La Equidad,RCB
Scunthorpe Utd,Sub
Mansfield Town,RB
St. Johnstone,RCM
FC Dallas,Sub
CD Antofagasta,Sub
Esbjerg fB,GK
Aalborg BK,Sub
FC Nordsjælland,Res
Jagiellonia,Sub
Djurgårdens IF,LCB
Östersunds FK,CM
Östersunds FK,Sub
Jönköpings Södra IF,Sub
Brighton,Sub
Mansfield Town,Sub
Swindon Town,GK
Wigan Athletic,Sub
Gillingham,Sub
AS Nancy,Res
Austria Wien,Sub
KAS Eupen,Sub
Wisła Płock,Sub
Columbus Crew SC,Sub
Randers FC,Sub
Central Coast,RB
Walsall,RCB
FC Porto,Res
Rochdale,CAM
V. Guimarães,Res
Central Coast,LB
FC Twente,Sub
Houston Dynamo,Sub
New England,Res
NYCFC,Sub
Go Ahead Eagles,Sub
FC Tokyo,Sub
Omiya Ardija,CF
Guadalajara,Res
Guadalajara,Sub
Cittadella,Sub
FC Nordsjælland,RCB
FC Midtjylland,ST
Sheffield Utd,LCB
Al Shabab,Sub
FC Nordsjælland,Sub
SK Sturm Graz,Sub
Cork City,ST
Newcastle Jets,LM
Atlas,Res
F. Düsseldorf,Sub
Fleetwood Town,CM
Zagłębie Lubin,Sub
Adelaide United,LW
Jeonnam Dragons,Sub
SV Sandhausen,LCB
Wigan Athletic,Res
Admira Wacker,Sub
Zenit,Sub
Al Khaleej,LS
Bourg-Péronnas,GK
Atlético Bucaramanga,Sub
Brescia,RB
Ruch Chorzów,Sub
RCD Espanyol,Res
RCD Mallorca,Sub
Al Khaleej,Res
Al Taawoun,Sub
IF Elfsborg,Sub
SK Brann,Sub
Nîmes Olympique,Sub
U.N.A.M.,Sub
SC Braga,Res
Zenit,Res
Avellino,Sub
SV Ried,Sub
AFC Wimbledon,LB
Admira Wacker,LM
Deportivo Pasto,ST
Necaxa,Sub
Incheon United,Res
Al Wehda,RCM
Portsmouth,RCB
Monterrey,Res
Al Wehda,Sub
Würzburger Kickers,Sub
Amiens SC,Sub
FC Twente,Sub
1. FSV Mainz 05,Res
Estoril Praia,Res
Go Ahead Eagles,Res
Valencia CF,Res
Stade Lavallois,LCB
Pisa,RCM
Deportivo Pasto,Res
Al-Ettifaq,LDM
Hartlepool,LB
Carlisle United,Sub
Pogoń Szczecin,RCB
Termalica,Sub
Sydney FC,LDM
Real Sociedad,Res
Al Taawoun,Sub
Portsmouth,RDM
Doncaster,RM
Bahía Blanca,Sub
Al Ahli,Sub
Al Wehda,LCB
IFK Norrköping,LM
Al Khaleej,Res
Al Batin,CM
Mansfield Town,LB
Rotherham Utd,RB
Wolfsberger AC,RS
Melbourne City,LW
Hammarby IF,Sub
Whitecaps FC,Sub
Tijuana,Sub
Free Agents,Res
Go Ahead Eagles,Sub
Östersunds FK,Sub
Perugia,Sub
Pohang Steelers,RCB
Tromsø IL,LB
Strømsgodset IF,LCM
SJ Earthquakes,Sub
Águilas Doradas,Sub
FC Metz,Sub
Arouca,Sub
Suwon FC,Res
Urawa Diamonds,ST
Admira Wacker,Sub
Wigan Athletic,Sub
Deportes Tolima,Sub
Viking FK,RCM
Bristol Rovers,RS
SK Sturm Graz,Sub
Sparta R'dam,Sub
Ipswich,Res
CD Everton,Sub
FC Orenburg,GK
Rubin Kazan,Res
Ventforet Kofu,Sub
Aytemiz Alanyaspor,Sub
Górnik Łęczna,RDM
Peterborough,Sub
Genoa,Res
SønderjyskE,RM
AC Horsens,RS
Erzgebirge Aue,Sub
SV Sandhausen,Sub
Ross County,RWB
Oldham Athletic,Sub
RC Lens,Sub
Free Agents,Res
SønderjyskE,Sub
CF Reus Deportiu,Sub
Admira Wacker,GK
Barnsley,Sub
Strømsgodset IF,Sub
Tours FC,Sub
AC Horsens,LCM
Santos Laguna,Res
Mansfield Town,LCB
FC Luzern,Sub
Ruch Chorzów,RM
QPR,Sub
Bristol Rovers,RB
Southend United,Sub
Arminia Bielefeld,Sub
Heracles Almelo,Sub
Randers FC,RCM
Plymouth Argyle,LM
FC Lausanne,LS
Melbourne City,Sub
Al. Petrolera,RB
Barnsley,Sub
Sp. Charleroi,Sub
Stade de Reims,Res
Konyaspor,Sub
Sarpsborg 08 FF,Sub
New England,GK
Burnley,Sub
Empoli,Res
RC Strasbourg,Sub
Pescara,Res
Mansfield Town,Sub
FC Luzern,Sub
FC Thun,RM
Bolton,Sub
Newcastle Utd,Res
Helsingborgs IF,Res
Mansfield Town,Sub
Bury,Res
Cambridge Utd,LB
Brisbane Roar,Sub
Odense BK,Sub
Lyngby BK,Res
Latina,Res
AS Nancy,LW
Brisigonza,Sub
Arminia Bielefeld,Sub
Sporting KC,Sub
Accrington,RM
Fleetwood Town,CB
Sarpsborg 08 FF,LCB
Sheffield Utd,Sub
Southend United,LM
Odense BK,Res
Ross County,Sub
MK Dons,RB
Coventry City,RCM
Peterborough,Sub
Seongnam FC,Sub
SønderjyskE,Sub
Bristol Rovers,RM
FC Twente,Sub
Dundee FC,Sub
Plymouth Argyle,Sub
Bury,Sub
Arka Gdynia,LM
Anzhi Makhachkala,Sub
FC Rostov,Sub
Bradford City,Sub
Bournemouth,Res
Lyngby BK,LM
SK Sturm Graz,Res
Envigado,RDM
Cracovia,Sub
SCR Altach,Sub
Red Star FC,Sub
Leyton Orient,RM
FC Vaduz,RCM
Pohang Steelers,CM
SCR Altach,Sub
FC Tokyo,Res
Sparta R'dam,Sub
Jeonnam Dragons,RCM
Shamrock Rovers,Sub
KVC Westerlo,Sub
Jönköpings Södra IF,Sub
Esbjerg fB,Sub
Terni,RW
AFC Wimbledon,RM
Al. Petrolera,Sub
FK Haugesund,Sub
FK Haugesund,LCM
Odds BK,LB
SønderjyskE,RCM
SJ Earthquakes,LB
Exeter City,LCM
Lillestrøm SK,RCB
AFC Wimbledon,RB
Reading,Res
Cardiff City,LM
HJK Helsinki,Sub
RC Lens,Sub
Carlisle United,RS
Stevenage,RCB
Doncaster,RS
Northampton,RM
Rubin Kazan,Sub
Burton Albion,LB
Fleetwood Town,RCB
AFC Wimbledon,Sub
Accrington,ST
Gençlerbirliği,Sub
Notts County,RB
Partick Thistle,Sub
F. Santa Maria,RB
Çaykur Rizespor,Sub
Hannover 96,Sub
Sporting KC,Res
Rochdale,LDM
Lyngby BK,LCB
Cham. Niortais,Sub
Arsenal Tula,Sub
MK Dons,RCB
MK Dons,RM
GwangJu FC,RCM
Tromsø IL,Sub
Al Ahli,Sub
Sangju Sangmu,Sub
Suwon Bluewings,RDM
FC Seoul,GK
Incheon United,RB
Ventforet Kofu,Res
Al Khaleej,Res
Kawasaki Front.,Sub
Kaiserslautern,LM
Vålerenga Fotball,GK
Royal Mouscron,Sub
Gillingham,LS
Newell's,Sub
GIF Sundsvall,LCB
Sarpsborg 08 FF,RS
FC Luzern,Sub
Quilmes,Res
New England,Sub
Sarpsborg 08 FF,Sub
Esbjerg fB,RCM
Sarpsborg 08 FF,RB
Northampton,RS
Blackburn Rovers,Sub
HJK Helsinki,Sub
FC Vaduz,Sub
Dundee FC,RCM
Ross County,Res
Śląsk Wrocław,LDM
Cittadella,RCB
Hammarby IF,RM
FC Thun,LB
Parque Patricios,Sub
Millwall,Sub
SCR Altach,RCM
Peterborough,CAM
FK Haugesund,Sub
SV Mattersburg,Sub
SV Ried,Sub
Cracovia,GK
Perth Glory,Sub
Portsmouth,ST
Helsingborgs IF,Res
Seongnam FC,Sub
Yeovil Town,LCB
Rochdale,LCB
GIF Sundsvall,RCM
U.N.A.M.,Sub
Newcastle Jets,RB
Ross County,Sub
Vicenza,Sub
Northampton,LCM
Bury,LCM
Crawley Town,Sub
Oldham Athletic,Sub
Barnet,ST
Mansfield Town,RDM
SønderjyskE,GK
Shamrock Rovers,RB
Mansfield Town,ST
Scunthorpe Utd,GK
Brescia,Sub
Southend United,Sub
FC Lausanne,Sub
Chiapas,Sub
FC St. Gallen,RCM
Djurgårdens IF,Sub
Necaxa,RCB
SKN St. Pölten,Res
Elche CF,Res
AC Horsens,Sub
US Orléans,Sub
Mansfield Town,RCB
Aalesunds FK,LCM
Royal Mouscron,LB
Gefle IF,LM
Shrewsbury,RCM
Suwon FC,ST
Cracovia,Sub
Melb. Victory,LCM
Al Shabab,Sub
Incheon United,Sub
Crewe Alexandra,LB
Piast Gliwice,Sub
FC Lugano,Sub
Leyton Orient,Sub
La Spezia,Sub
Roda JC,Sub
Plymouth Argyle,Res
Belenenses,Sub
US Orléans,RDM
Bourg-Péronnas,RCB
Vélez Sarsfield,GK
San Luis,RAM
Cracovia,RCB
Termalica,Sub
Ruch Chorzów,LCB
Tromsø IL,RB
Hartlepool,LCM
Spal,LM
CD Cobresal,LDM
Cittadella,LB
Aalborg BK,RB
Helsingborgs IF,LM
Walsall,RCM
Athletic Bilbao,Res
Cambridge Utd,Sub
Junín,RDM
Lechia Gdańsk,Res
Port Vale,LCM
Veracruz,Res
Bristol Rovers,Sub
Inverness CT,GK
AFC Wimbledon,LM
Viborg FF,Sub
Austria Wien,Sub
Port Vale,RB
Chesterfield,GK
Pisa,Sub
FC Tom Tomsk,Sub
Sheffield Utd,CB
Hartlepool,Sub
Fleetwood Town,Sub
Northampton,LB
Carlisle United,Sub
Colchester,LCM
Luton Town,Sub
Helsingborgs IF,RS
Scunthorpe Utd,RCB
Bolton,GK
Vitesse,Sub
Leeds United,Res
AFC Wimbledon,Sub
CA Talleres,CDM
Scunthorpe Utd,Sub
Blackpool,Sub
Amiens SC,Sub
FC Lugano,Sub
Kalmar FF,RM
Free Agents,Res
Wycombe,ST
Shrewsbury,LCB
HJK Helsinki,LCB
AC Horsens,RB
Pohang Steelers,Sub
Aalesunds FK,LCB
Real Salt Lake,Sub
Notts County,LM
Doncaster,Sub
Portsmouth,LDM
Portsmouth,RB
SCR Altach,LS
AC Horsens,Sub
Grimsby Town,LCB
Grimsby Town,Sub
Stade Lavallois,Sub
Konyaspor,Sub
Bahía Blanca,Sub
Uni. Católica,Sub
Deportivo Pasto,Sub
FC Basel,Sub
Wolfsberger AC,Sub
Cardiff City,Sub
Puebla,Sub
Monarcas Morelia,Sub
Nagoya,RDM
Dundee FC,Sub
V. Setúbal,Sub
MK Dons,Sub
Ulsan Hyundai,Sub
Central Coast,Sub
GIF Sundsvall,GK
Aarhus GF,Sub
Benevento,Sub
Ruch Chorzów,RDM
Sarpsborg 08 FF,Sub
Inter,Res
Tromsø IL,RCM
Wolfsberger AC,RB
Jönköpings Södra IF,Sub
FC Vaduz,GK
Portsmouth,Sub
Aberdeen,Sub
Moreirense,Sub
IK Start,Sub
Real Salt Lake,RM
FC Barcelona,Res
Patriotas,GK
OGC Nice,Sub
Chievo Verona,Sub
Arouca,Res
Marítimo,Res
Dijon FCO,Res
Marítimo,Res
1860 München,LM
Atalanta,Sub
RCD Mallorca,Sub
Manchester Utd,Res
Atalanta,Res
Al Batin,Res
SD Eibar,Res
SL Benfica,Res
América,Sub
Lanús,Res
Jeonbuk Hyundai,LCB
Necaxa,Sub
Olympiakos CFP,Sub
Bourg-Péronnas,Sub
FC Ural,Res
Córdoba CF,Res
Fenerbahçe,Res
1. FSV Mainz 05,Sub
Toulouse FC,Res
Free Agents,Res
SD Eibar,Res
CD Leganés,Res
CD Leganés,Res
Sevilla Atlét.,Res
PSG,Res
Giron. Bordeaux,Res
SK Rapid Wien,Res
Novara,Sub
Latina,Sub
Sporting Gijón,Res
Incheon United,Sub
San Lorenzo,Res
FC Lorient,Res
Rosario Central,Sub
Parque Patricios,Res
Atlético Huila,Sub
Novara,Res
Independiente,Res
KV Mechelen,Sub
Roma,Res
Levante UD,Res
Rafaela,LM
Free Agents,Res
Free Agents,Res
Liverpool,Res
Free Agents,Res
Ponte Preta,Sub
Amkar Perm,Sub
Lanús,Res
Real Zaragoza,Res
Tigre,LCB
Olym. Lyonnais,Sub
Bursaspor,Res
Çaykur Rizespor,Res
AS Monaco,Res
Newcastle Jets,ST
SD Eibar,Res
Sunderland,Res
América,Sub
Pisa,Sub
V. Guimarães,Res
SC Bastia,Sub
Antalyaspor,Sub
Beşiktaş,Res
Orlando City,Sub
Chicago Fire,Sub
CD Tenerife,Sub
CD Tenerife,Res
Al Ahli,Sub
Al Faisaly,RAM
Estoril Praia,Res
FC Tom Tomsk,RM
RC Lens,Sub
Wanderers,Sub
SCR Altach,Sub
1. FC Köln,Sub
Atl. Nacional,Sub
Quilmes,Res
1. FC Nürnberg,Sub
UD Almería,Res
Real Madrid,Res
La Equidad,Sub
N.E.C.,Sub
San Luis,LCB
PSV,Res
CA Talleres,LB
RC Strasbourg,LCM
RSC Anderlecht,Sub
Boyacá Chicó,RCB
Wolfsberger AC,Sub
St. Johnstone,RM
Olym. Lyonnais,Res
WS Wanderers,Sub
PSG,Res
Wisła Płock,LM
RSC Anderlecht,Sub
FC Basel,Sub
SKN St. Pölten,RB
FC København,LS
Chiapas,Sub
Tigres,Res
Atlas,LWB
Bourg-Péronnas,Sub
Bourg-Péronnas,Sub
Deportes Temuco,Sub
Lyngby BK,Sub
FC Orenburg,Res
Go Ahead Eagles,RB
Dynamo Dresden,Sub
PSG,Res
Free Agents,Res
Sint-Truiden,Sub
Free Agents,Res
KAS Eupen,Sub
Joinville,Sub
Ponte Preta,Sub
Joinville,Sub
Goiás,Sub
Criciúma,Sub
Avaí,GK
1. FC Nürnberg,Sub
Quilmes,RS
Cham. Niortais,Sub
Wanderers,Sub
Free Agents,Res
Sparta R'dam,Sub
FC Seoul,Sub
ES Troyes AC,RM
SK Brann,LW
Ulsan Hyundai,CAM
San Lorenzo,Sub
Toronto FC,Sub
Kashima Antlers,Sub
Shonan Bellmare,Sub
FC Twente,Sub
Sparta R'dam,LB
Sparta R'dam,Res
Cádiz C.F.,Res
Kasimpaşa,Sub
Patronato,RCM
Sanfrecce Hiroshima,LCM
Ventforet Kofu,RCB
Avispa Fukuoka,LCM
Kashiwa Reysol,Sub
Vissel Kobe,LCM
Vissel Kobe,Sub
Vitesse,Sub
Kashima Antlers,Sub
Yokohama F. Marinos,GK
Sagan Tosu,Sub
Omiya Ardija,RB
Molde FK,Sub
Yokohama F. Marinos,Sub
Omiya Ardija,LB
Iwata,Sub
Estudiantes,Sub
Arminia Bielefeld,Res
Vålerenga Fotball,Sub
Gamba Osaka,Sub
Yokohama F. Marinos,Sub
Vegalta Sendai,Res
FK Haugesund,LCB
Puebla,Sub
Belgrano,Sub
Vegalta Sendai,RCM
Nagoya,RB
Fortaleza FC,LS
Urawa Diamonds,Res
Feyenoord,Res
Uni. de Chile,Sub
Newcastle Jets,LDM
Parque Patricios,Res
HJK Helsinki,LB
Palermo,LW
Uni. Concepción,Res
FC Ufa,Sub
Lazio,Res
Brescia,Sub
Ulsan Hyundai,Sub
Viking FK,ST
Deport. Alavés,Res
Jönköpings Södra IF,LDM
River Plate,Sub
Arsenal,Res
Unión,Sub
Red Star FC,LCM
Free Agents,Res
Sevilla FC,Res
Montpellier HSC,Res
Stade Rennais,Res
Al Qadisiyah,RDM
Jaguares,Res
Brescia,Sub
Cortuluá,Res
West Brom,Sub
RSC Anderlecht,Res
Antalyaspor,Res
Osmanlıspor,Res
Karabükspor,Sub
Port Vale,Sub
Al Qadisiyah,Sub
Free Agents,Res
Nott'm Forest,RCB
SM Caen,Res
Once Caldas,Sub
Al Taawoun,RM
Santa Cruz,Sub
Ponte Preta,LDM
Palmeiras,LDM
Vasco da Gama,Sub
Sport,Sub
São Paulo,Sub
Vasco da Gama,Sub
São Paulo,Sub
Santos,Sub
Fluminense,Sub
São Paulo,Sub
A. Minas G.,Sub
Santa Cruz,Sub
Botafogo,Sub
AS Nancy,Res
Clermont Foot,Sub
Vitesse,Sub
Atlético Huila,LS
León,LB
Chaves,Res
Athletic Bilbao,Res
Anzhi Makhachkala,CAM
Incheon United,Sub
Vélez Sarsfield,Sub
Colo-Colo,Sub
Royal Mouscron,Sub
Unión,Sub
RB Leipzig,Sub
Clermont Foot,Sub
Real Valladolid,Res
UCAM Murcia,Sub
Tondela,Sub
Tondela,Res
Paços Ferreira,Res
Sogndal,Res
San Luis,Res
SD Eibar,Res
Moreirense,Res
F. Düsseldorf,Res
PSG,Res
AS Monaco,Res
FC Ural,Sub
San Luis,Sub
PEC Zwolle,Res
Orlando Pirates,Sub
Angers SCO,Res
Roda JC,Res
U.N.A.M.,Sub
Birmingham City,Sub
Royal Mouscron,Sub
Newell's,Res
Royal Mouscron,RDM
Sarandí,Res
Unión,RM
Banfield,RDM
SC Braga,Res
Spartak Moscow,Res
AJ Auxerre,LB
FC Utrecht,Sub
River Plate,LCB
KRC Genk,Sub
Uni. Concepción,Sub
Standard Liège,Sub
Coventry City,Sub
Al Qadisiyah,GK
ES Troyes AC,Sub
Estudiantes,Res
Arsenal,Res
Al Shabab,Sub
CA Talleres,RB
Rochdale,Sub
Newcastle Utd,Res
Sint-Truiden,Sub
Odds BK,Sub
Clermont Foot,Sub
WS Wanderers,LCB
Vålerenga Fotball,LCB
Ulsan Hyundai,RDM
Philadelphia,Sub
Sporting KC,Sub
Jeonbuk Hyundai,Sub
Whitecaps FC,Res
Vélez Sarsfield,Sub
Boyacá Chicó,RDM
Coventry City,Res
Ipswich,Res
Trapani,Sub
Stade Lavallois,RW
Greuther Fürth,Sub
Once Caldas,LB
Cortuluá,LCB
Deportivo Pasto,LB
Nott'm Forest,RDM
Cortuluá,Sub
Unión,RCB
Bury,RWB
Toronto FC,Res
G. La Plata,ST
GwangJu FC,CAM
Jönköpings Södra IF,Res
RCD Mallorca,Res
Fiorentina,Sub
Fenerbahçe,Res
CD O'Higgins,Res
Aalesunds FK,Sub
Rotherham Utd,Sub
Santa Fe,Sub
Aalesunds FK,Sub
Empoli,Sub
Uni. Católica,Sub
Crotone,Sub
Huddersfield,Sub
Brescia,Sub
Anzhi Makhachkala,Res
Valenciennes FC,LB
Málaga CF,Res
Free Agents,Res
U.N.A.M.,Sub
Al Khaleej,Sub
Amkar Perm,Sub
CD Palestino,Res
KRC Genk,Sub
Charlton Ath,LB
Vercelli,RCM
LOSC Lille,Res
Al Batin,Res
Al Raed,Sub
Al Khaleej,RB
RC Lens,Sub
Santos Laguna,Sub
Fiorentina,Res
Al Khaleej,Sub
Rafaela,Sub
PSV,Res
Monterrey,Res
Well. Phoenix,LB
Chelsea,Sub
Carlisle United,Sub
Montreal Impact,Sub
Deportes Temuco,Res
SV Ried,LB
FC St. Pauli,Sub
Karlsruher SC,Res
Vercelli,Sub
Admira Wacker,LCB
SC Heerenveen,Sub
FC Utrecht,Sub
FC Ufa,Sub
Cruz Azul,Sub
Barnsley,Sub
Stevenage,Res
SK Sturm Graz,Sub
SK Rapid Wien,GK
SV Ried,LCB
Randers FC,LB
Godoy Cruz,ST
CA Osasuna,Res
Sp. Charleroi,Sub
Olym. Lyonnais,Sub
Banfield,LDM
SCR Altach,Sub
Hamilton,Sub
Hearts,Sub
Zagłębie Lubin,LCM
Blackburn Rovers,Res
Excelsior,Sub
Brescia,Sub
Santa Fe,Res
Akhisarspor,Sub
Southampton,Res
HJK Helsinki,Sub
Unión Española,Sub
Toluca,Sub
CSKA Moscow,Sub
Uni. de Chile,Res
Stabæk Fotball,Sub
Boavista,Res
Estudiantes,Sub
FK Bodø/Glimt,CM
Free Agents,Res
Wisła Kraków,RB
Boavista,Res
Motherwell,RM
Manchester City,Res
Real Betis,Res
LA Galaxy,Sub
FC Utrecht,Res
Lanús,Res
La Equidad,Sub
Al Wehda,Sub
Al Hilal,Sub
Lillestrøm SK,LB
Portsmouth,LCB
Deportivo Cali,Sub
Stade de Reims,Res
Gefle IF,RM
Chesterfield,Sub
Everton,Sub
GwangJu FC,ST
Al. Petrolera,LCB
Al Shabab,Res
Hartlepool,LW
Guadalajara,Sub
Örebro SK,Sub
Atlético Huila,RS
Deportivo Pasto,GK
Spartak Moscow,Res
Getafe CF,Res
Walsall,Sub
Swindon Town,RCM
Blackpool,Sub
Newcastle Jets,Sub
Al Shabab,LDM
FC Sochaux,Sub
Sport. Lokeren,Sub
Sarandí,Res
Odds BK,Sub
BSC Young Boys,Sub
Giron. Bordeaux,Res
Grasshopper,Sub
Sogndal,Sub
Brentford,Sub
Red Star FC,Res
Once Caldas,LM
Brighton,Res
Parque Patricios,ST
Atlético Tucumán,Sub
Deport. Alavés,Res
Clermont Foot,Sub
Helsingborgs IF,Sub
Villarreal CF,Res
RCD Mallorca,Res
Cambridge Utd,RB
Erzgebirge Aue,Sub
Jaguares,Res
Al. Petrolera,Sub
Termalica,LDM
CD Numancia,RCB
FC Lausanne,LCM
Granada CF,Res
Gaziantepspor,Res
Southampton,Sub
Cham. Niortais,RM
San Luis,Sub
Guadalajara,Sub
Partick Thistle,Sub
Wolfsberger AC,GK
Molde FK,Res
Ruch Chorzów,Sub
Bury,RCB
Molde FK,Sub
Ipswich,Res
Vercelli,Sub
Plymouth Argyle,Sub
América,Sub
Dundee FC,Sub
Northampton,RCM
Wolfsberger AC,Res
Wolfsberger AC,RCM
Wolfsberger AC,LCM
Wisła Płock,Sub
Pisa,LCM
Vålerenga Fotball,Sub
Patronato,Sub
Walsall,RB
Oldham Athletic,LB
Admira Wacker,Sub
Silkeborg IF,RM
Stabæk Fotball,LDM
MK Dons,LM
Crawley Town,LCB
Belgrano,Sub
CA Talleres,Res
Godoy Cruz,Sub
Racing Club,Sub
Amiens SC,Sub
Vitesse,Res
Wanderers,LDM
Rafaela,Sub
CD Everton,RB
CD Everton,Res
Deportes Temuco,LB
CD Palestino,Sub
Unión Española,LB
CD Antofagasta,Sub
Unión Española,Sub
Mar del Plata,Sub
Deportes Temuco,RW
Boyacá Chicó,Sub
Envigado,CAM
La Equidad,GK
CD Cobresal,ST
Sarandí,RM
Atlético Bucaramanga,LDM
CD O'Higgins,Res
Colo-Colo,Res
Colo-Colo,Sub
Once Caldas,Sub
Once Caldas,Sub
Cortuluá,RDM
Boyacá Chicó,Sub
Jaguares,Res
Atlético Huila,Sub
Southampton,Res
Cham. Niortais,Sub
Unión Española,Sub
CD Antofagasta,Sub
CD Antofagasta,RCB
CD Antofagasta,Sub
Rochdale,LB
Chesterfield,Sub
Swindon Town,Sub
Colchester,RCM
Audax Italiano,Sub
Partick Thistle,LM
Stade Brestois,Sub
Hammarby IF,Sub
D.C. United,Res
Al-Ettifaq,Sub
Le Havre AC,Sub
KAS Eupen,Sub
GwangJu FC,RW
WS Wanderers,LB
Fleetwood Town,LCB
AS Nancy,LB
WS Wanderers,Sub
FC Tokyo,Sub
Al Raed,CAM
Blackpool,Sub
Trapani,Sub
Chicago Fire,ST
VfL Wolfsburg,Res
FC Utrecht,Sub
Incheon United,Res
Incheon United,Sub
FC Seoul,Sub
Malmö FF,Sub
Tromsø IL,Sub
FC Lausanne,RM
Arka Gdynia,GK
Cesena,CB
Clermont Foot,GK
Junín,Sub
GIF Sundsvall,RM
Al Qadisiyah,Sub
Al Taawoun,RB
Hearts,RCB
FK Haugesund,GK
Bury,Sub
Aalborg BK,Sub
Brisigonza,RB
Al Qadisiyah,Sub
Al Faisaly,LAM
Al Fateh,Sub
Al Ahli,Sub
Brøndby IF,LCM
Admira Wacker,Sub
Hull City,Res
SKN St. Pölten,Sub
Sparta R'dam,Sub
Wigan Athletic,Sub
Al Raed,Sub
Al Ahli,RCB
Free Agents,Res
SV Ried,ST
ES Troyes AC,Res
Red Star FC,Sub
Free Agents,Res
AC Ajaccio,Sub
Hamilton,LS
Ross County,LWB
Wisła Płock,LDM
Brisbane Roar,LB
Fleetwood Town,Sub
FC Ural,Sub
Al Hilal,Sub
Al Shabab,Res
Cracovia,Sub
Wolfsberger AC,Sub
Coventry City,Sub
Vålerenga Fotball,RB
Royal Mouscron,Sub
LA Galaxy,RB
Luton Town,RCM
Suwon FC,Sub
Willem II,Sub
Gillingham,Sub
Incheon United,Sub
Pohang Steelers,Sub
Bristol Rovers,LS
Sogndal,LS
Sligo Rovers,Sub
Quilmes,RCM
Djurgårdens IF,Sub
Seongnam FC,Sub
Coventry City,Sub
Fleetwood Town,Sub
Mar del Plata,Sub
Yokohama F. Marinos,CAM
Shamrock Rovers,LM
FC Lugano,RW
SKN St. Pölten,Sub
Paços Ferreira,Res
Tigres,Res
Derby County,Res
Rubin Kazan,Sub
Cambridge Utd,Res
Akhisarspor,Sub
Oxford United,Sub
Portsmouth,RM
Barnet,Sub
Wycombe,Sub
Gillingham,LCB
WS Wanderers,Sub
Würzburger Kickers,Sub
Cambridge Utd,Sub
Hamilton,LCM
Östersunds FK,LCM
Bradford City,LS
Trapani,RCB
Admira Wacker,RM
Wolfsberger AC,Sub
Wycombe,LCB
Wisła Kraków,Sub
Partick Thistle,Sub
Zenit,Res
Millwall,Sub
Swindon Town,Sub
Plymouth Argyle,RCB
Sheffield Utd,Sub
Northampton,Sub
Perth Glory,RM
Inverness CT,Sub
Falkenbergs FF,RCM
Wycombe,Sub
Dundalk,RB
Shrewsbury,RB
FC Vaduz,Sub
Scunthorpe Utd,LCM
Kalmar FF,LS
FK Haugesund,RM
Exeter City,Sub
Hearts,RB
IFK Norrköping,Sub
Sarandí,Sub
Dundalk,LM
Dundalk,LCB
AC Horsens,RCB
Sarpsborg 08 FF,Sub
Amiens SC,Sub
Colchester,GK
Sarpsborg 08 FF,Sub
SV Ried,Sub
AFC Wimbledon,Sub
Once Caldas,CAM
Piast Gliwice,LF
Colchester,Res
Rosenborg BK,Sub
SønderjyskE,LCB
SV Mattersburg,LB
Cambridge Utd,RM
SV Mattersburg,Sub
SV Mattersburg,RB
Suwon Bluewings,RM
Seongnam FC,Sub
SK Brann,LCB
Gefle IF,LCB
Dundalk,ST
Temperley,Sub
Akhisarspor,Sub
Yeovil Town,ST
Dundee FC,RS
Wycombe,RW
FC Tokyo,GK
Latina,LW
Falkenbergs FF,LM
Shrewsbury,RCB
Free Agents,Res
CA Osasuna,Res
Odense BK,RM
Scunthorpe Utd,Sub
Kayserispor,Sub
Arka Gdynia,Sub
Carlisle United,RM
Termalica,Sub
Quilmes,Res
Mansfield Town,Sub
Hamilton,Res
Dynamo Dresden,Sub
Wisła Kraków,GK
FC St. Gallen,RM
SV Mattersburg,Sub
Arsenal Tula,RCM
AFC Wimbledon,GK
Wisła Płock,RM
