Club,Club_Position
Akhisarspor,RB
Lazio,Sub
Rubin Kazan,CAM
Empoli,CAM
Spartak Moscow,LDM
Rubin Kazan,RCB
Stoke City,Sub
Trabzonspor,GK
Swansea City,Sub
Milan,Sub
Middlesbrough,Sub
Eint. Frankfurt,Sub
Spartak Moscow,Sub
Stoke City,CAM
Angers SCO,LCB
Granada CF,RM
1899 Hoffenheim,RS
RCD Espanyol,LM
FC Schalke 04,LM
Hertha BSC,RCB
1. FC Köln,LCB
Manchester City,Sub
FC Augsburg,ST
Watford,LS
West Ham,Sub
Free Agents,Res
West Ham,ST
Free Agents,Res
FC Basel,RCB
Spartak Moscow,Sub
Lokomotiv Moscow,GK
Swansea City,Sub
Club Brugge,RCM
Watford,RCM
OGC Nice,RCB
Milan,Sub
Hull City,Sub
Manchester Utd,Sub
Tigres,GK
Granada CF,ST
SC Braga,Sub
Trabzonspor,Sub
SD Eibar,RM
Werder Bremen,RCM
Milan,Sub
Chelsea,RWB
Real Sociedad,LCM
Southampton,GK
Ajax,CDM
Crystal Palace,Sub
Valencia CF,Sub
Burnley,LM
Uni. Católica,CAM
AZ,GK
Swansea City,CDM
Feyenoord,Sub
FC Bayern,Sub
Spartak Moscow,LCB
Milan,RB
Kalmar FF,RCM
Rosario Central,LS
VfL Wolfsburg,RB
Beşiktaş,LB
Burnley,GK
Shakhtar Donetsk,RCB
Feyenoord,RCM
Zenit,CDM
Eint. Frankfurt,RCB
Milan,Res
Sampdoria,LS
RCD Espanyol,CAM
Free Agents,Res
VfB Stuttgart,RCM
Montreal Impact,LCB
Roma,Sub
Inter,Sub
Hertha BSC,LDM
Manchester Utd,Sub
West Ham,RDM
Everton,Sub
Olym. Lyonnais,RB
Rubin Kazan,GK
Villarreal CF,RS
Bor. M'gladbach,LB
Beşiktaş,RB
Milan,Sub
Liverpool,Sub
Manchester City,GK
Aytemiz Alanyaspor,ST
Leicester City,LCB
Watford,GK
Málaga CF,LCB
Galatasaray,RDM
Eint. Frankfurt,Sub
CSKA Moscow,LCB
RCD Espanyol,Sub
Galatasaray,Sub
EA Guingamp,Sub
Real Betis,Sub
Werder Bremen,RS
FC Rostov,CB
Chievo Verona,LCB
AS Monaco,Sub
Toulouse FC,GK
FC Bayern,Sub
Ponte Preta,ST
Goiás,RDM
Internacional,RB
Coritiba,RS
Botafogo,CAM
Chapecoense,RB
Botafogo,LB
Atl. Paranaense,LB
Atl. Paranaense,GK
UD Las Palmas,RCB
OGC Nice,LB
Sassuolo,LCM
Athletic Bilbao,RCB
Spurs,Sub
Málaga CF,CAM
Deport. Alavés,RDM
Independiente,GK
1899 Hoffenheim,RCM
OGC Nice,RCM
Eint. Frankfurt,LCB
Fenerbahçe,RB
SL Benfica,Sub
Giron. Bordeaux,RW
Feyenoord,RB
Real Betis,LCM
Pachuca,LW
OGC Nice,GK
Osmanlıspor,Sub
FC Schalke 04,RM
Ajax,RCB
Fiorentina,RCM
Spurs,Sub
Málaga CF,ST
Lazio,LCB
Lazio,Sub
Lazio,Sub
RSC Anderlecht,LCM
UD Las Palmas,Sub
Zenit,GK
Udinese,RB
Boca Juniors,RB
Boca Juniors,RCM
Boca Juniors,ST
Lanús,CDM
Sevilla FC,RDM
Trabzonspor,LB
Atl. Nacional,GK
Deport. Alavés,Sub
FC Nantes,Sub
FC Rostov,RS
Sporting CP,LS
Giron. Bordeaux,ST
Arsenal,Sub
Juventus,Sub
Beşiktaş,CAM
Sampdoria,CAM
Inter,LDM
1899 Hoffenheim,LCM
Independiente,LB
1. FSV Mainz 05,LM
RC Deportivo,RM
FC Basel,RDM
Indep. Medellín,RAM
Celta Vigo,LB
FC Porto,Sub
CD Leganés,LM
1. FSV Mainz 05,RS
Celta Vigo,Sub
Deport. Alavés,GK
SC Heerenveen,LW
FC Schalke 04,Res
SL Benfica,Sub
CD Leganés,CAM
RCD Espanyol,ST
Bor. Dortmund,RM
Bor. M'gladbach,RDM
EA Guingamp,LB
Roma,Sub
CA Osasuna,CAM
Hertha BSC,Sub
1. FC Köln,Sub
Werder Bremen,LM
PSV,LB
Napoli,Sub
Deport. Alavés,LCB
FC Utrecht,LS
Chievo Verona,RCM
Málaga CF,RCB
Rio Ave,RCB
AS Monaco,LB
RB Leipzig,RCB
Real Betis,RCM
Zenit,LCB
FC København,Sub
FC Basel,GK
Spartak Moscow,ST
1899 Hoffenheim,RWB
Feyenoord,LCM
Feyenoord,LB
1. FC Köln,Sub
Villarreal CF,Sub
Juventus,Sub
FC Krasnodar,LCB
Málaga CF,Sub
OGC Nice,RW
Leicester City,Sub
AS Saint-Étienne,RDM
RCD Espanyol,RCB
Fiorentina,GK
Bologna,LW
Real Betis,RCB
Shakhtar Donetsk,LB
LOSC Lille,Sub
SC Braga,GK
FC Rostov,Sub
1899 Hoffenheim,Sub
San Lorenzo,ST
Levante UD,LDM
PSV,Sub
SC Braga,Sub
Everton,Sub
Sampdoria,LCM
Celta Vigo,LCB
Watford,Sub
Sporting Gijón,RCM
Torino,Sub
Sampdoria,RS
Beşiktaş,Sub
Leicester City,Sub
Lazio,Sub
AS Saint-Étienne,LB
1. FSV Mainz 05,RCB
Valencia CF,Sub
FC Schalke 04,LDM
Swansea City,Sub
Feyenoord,CAM
Sunderland,Sub
Al Ahli,CAM
Liverpool,Sub
RCD Espanyol,RB
Crystal Palace,RM
Valencia CF,RB
Leicester City,RS
Fenerbahçe,CAM
SC Braga,Res
Lokomotiv Moscow,LCB
Real Betis,CB
Bologna,ST
Vitesse,RCB
Sporting CP,RB
LOSC Lille,RCB
Watford,Sub
Hertha BSC,LB
Athletic Bilbao,Sub
Milan,Sub
RCD Espanyol,LCB
LOSC Lille,RB
Juventus,Sub
Beşiktaş,Sub
